time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,A_mag,Gyro_mag,Fx,Fy,Fz,Mx,My,Mz,F_mag,M_mag
1.579539,4.00560741362,0.83525259522,10.2194759634,7.077883285,-1110,-60,-0.288686662165,0.234358175927,0.782969360483,1.2034692323,0.00288233231661,0.00288233231661,0.57556640625,0.5048828125,4.09784946237,1895,1958,2173,2392,2088,1873,1906,2024,1.18530289402,0.0653561632389,4.42418982969,-0.407842478333,-0.022487939348,-4548.61290323,-245.870967742,0.0462175628217,1.20347613552,0.866778381705,0.00773222188047,0.0770044559693,-0.0156051908446,-3.42148783925,0.432926577005,-0.561133870831,0.0789493221987,3.49412015767
1.58054,4.01557828882,0.84253900402,10.2257077604,7.084115082,-1108,-223,-0.299339306525,0.2631203157,0.812796764692,1.19658278732,0.00286583914638,0.00286583914638,0.6260546875,0.40390625,4.09784946237,1889,1954,2167,2374,2080,1869,1914,2011,1.16620773597,0.249733722117,4.42560718709,-0.401272160635,-0.0859291077965,-4540.4172043,-913.820430108,0.0470303595864,1.19658965104,0.905248530327,0.00925425336055,0.0762677443706,-0.0159328730296,-3.38450292017,0.474677035958,-0.510879443945,0.0784618791492,3.45560068748
1.581541,4.02554916402,0.84944191762,10.2319395574,7.090346879,-1156,-183,-0.301469835397,0.240749762543,0.845819962209,1.18901805016,0.00284772145314,0.00284772145314,0.57556640625,0.363515625,4.05364396655,1889,1954,2167,2374,2080,1869,1914,2011,1.20578203893,0.202518300723,4.42701689573,-0.41941341887,-0.0704429906464,-4686.01242533,-741.816845878,0.0478761795486,1.18902487049,0.929653655019,0.0108011551003,0.0755919052411,-0.0162769806249,-3.34989613694,0.516704616538,-0.460369618368,0.078075227747,3.4206326863
1.582542,4.03667052482,0.85711182162,10.2381713544,7.096578676,-1369,-301,-0.297208777653,0.177899160817,0.841558904465,1.18080674216,0.00282805521011,0.00282805521011,0.4846875,0.49478515625,4.09784946237,1889,1954,2167,2374,2080,1869,1914,2011,1.49959156893,0.328791530098,4.42884710721,-0.51598384265,-0.113131549047,-5609.95591398,-1233.45268817,0.048717738453,1.18081351539,0.910056349144,0.0123719176603,0.0749756187118,-0.0166354913624,-3.31756355735,0.559001180175,-0.409554299744,0.0777891208375,3.38916582671
1.583543,4.04740839042,0.86209725922,10.2444031514,7.102810473,-1376,65,-0.295078248781,0.12889699676,0.818123086872,1.17197855204,0.00280691152234,0.00280691152234,0.525078125,0.4644921875,4.09342891278,1889,1954,2167,2374,2080,1869,1914,2011,1.48696018533,0.0714341888173,4.43040705998,-0.512190123729,0.0246058276273,-5632.55818399,266.072879331,0.0495358615399,1.17198527463,0.879210437808,0.0139651125563,0.0744168210885,-0.0170066627109,-3.28737917585,0.601558189332,-0.358414575166,0.0776022822228,3.36113003447
1.584544,4.05431130402,0.86784968722,10.2506349484,7.10904227,-885,-29,-0.294012984345,0.0777643038303,0.82131888018,1.16255390736,0.00278433931426,0.00278433931426,0.56546875,0.4644921875,4.09784946237,1889,1954,2167,2374,2080,1869,1914,2011,0.947748024435,0.031943920418,4.43138773161,-0.326103905653,-0.0109913573456,-3626.59677419,-118.837634409,0.0503571804201,1.16256057589,0.875817118384,0.0155789828116,0.0739128173301,-0.0173890188926,-3.25919929087,0.644368515813,-0.306959260233,0.0775124973741,3.33643743973
1.585545,4.06543266482,0.87590308642,10.2568667454,7.115274067,-1498,-352,-0.314253008629,0.0490021640575,0.837297846721,1.15254371683,0.00276036471242,0.00276036471242,0.49478515625,0.444296875,4.04480286738,1889,1954,2167,2374,2080,1869,1914,2011,1.59135035528,0.379253566719,4.43336030614,-0.554737542103,-0.132206079408,-6059.11469534,-1423.77060932,0.0511944782668,1.15255032794,0.895669497995,0.0172114787615,0.0734603846452,-0.0177813163692,-3.23286616416,0.687425550616,-0.255221516571,0.0775166970736,3.31498349099
1.586546,4.07463654962,0.88357299042,10.2630985424,7.121505864,-1286,-321,-0.334493032914,0.0213052887206,0.815992558,1.14195406572,0.00273500229117,0.00273500229117,0.6260546875,0.47458984375,4.09342891278,1860,1920,2132,2356,2082,1876,1915,2008,1.35037705508,0.351793383993,4.43506417875,-0.465143450206,-0.121176813376,-5264.14958184,-1313.990681,0.0520104708248,1.14196061608,0.88214701672,0.0188603130504,0.073055864567,-0.0181824819573,-3.20821149895,0.73072261111,-0.203255239888,0.0776110392027,3.29664818397
1.587547,4.08537441522,0.88970891362,10.2693303394,7.127737661,-1544,-120,-0.338754090658,-0.035153726389,0.785099889355,1.13078932742,0.00270826252489,0.00270826252489,0.49478515625,0.41400390625,4.0890083632,1860,1920,2132,2356,2082,1876,1915,2008,1.67879029902,0.133408415832,4.43687818966,-0.578892022554,-0.0460028079217,-6313.42891278,-490.681003584,0.0527955707142,1.13079581374,0.855787330289,0.0205230716931,0.0726952376977,-0.0185914676612,-3.18506000521,0.774252944851,-0.151130422137,0.0777909810032,3.28129780177
1.588548,4.09534529042,0.89584483682,10.2755621364,7.133969458,-1492,-119,-0.343015148402,-0.0852211548825,0.761664071763,1.11905688319,0.0026801630918,0.0026801630918,0.61595703125,0.45439453125,4.09784946237,1860,1920,2132,2356,2082,1876,1915,2008,1.57494824012,0.131444517182,4.43858628881,-0.541912785954,-0.0452278130099,-6113.99139785,-487.644086022,0.0535572347859,1.11906330221,0.83967505351,0.0221973513323,0.0723741864802,-0.0190070669587,-3.16323286508,0.818010071258,-0.0989281201118,0.0780513540511,3.26878714638
